,Country,Code,Year,Pop_w_depression
124,Mali,MLI,2016,3.4881425860000004
215,United States Virgin Islands,VIR,2016,3.488096352
105,Kiribati,KIR,2016,3.487292775
12,Austria,AUT,2016,3.482647791
156,Papua New Guinea,PNG,2016,3.477609475
123,Maldives,MDV,2016,3.4630243210000002
151,Oceania,,2016,3.457958871
24,Bolivia,BOL,2016,3.455685993
55,Denmark,DNK,2016,3.432562985
180,Solomon Islands,SLB,2016,3.4291382089999995
168,Saint Vincent and the Grenadines,VCT,2016,3.4238811439999997
58,Dominican Republic,DOM,2016,3.4229070439999996
130,Micronesia (country),FSM,2016,3.4203043589999997
70,Fiji,FJI,2016,3.416248312
218,Vanuatu,VUT,2016,3.4092644880000003
20,Belize,BLZ,2016,3.398174757
126,Marshall Islands,MHL,2016,3.3977059960000005
201,Thailand,THA,2016,3.3828115380000003
147,North Korea,PRK,2016,3.382358755
32,Cambodia,KHM,2016,3.381689465
22,Bermuda,BMU,2016,3.378901017
167,Saint Lucia,LCA,2016,3.37057442
149,Northern Mariana Islands,MNP,2016,3.3689742110000003
107,Kyrgyzstan,KGZ,2016,3.364046923
157,Paraguay,PRY,2016,3.337949632
169,Samoa,WSM,2016,3.334725466
17,Barbados,BRB,2016,3.324263981
80,Grenada,GRD,2016,3.3190611110000003
64,El Salvador,SLV,2016,3.318673395
109,Latin America and Caribbean,,2016,3.300885151
62,Ecuador,ECU,2016,3.275092991
38,Central Asia,,2016,3.265770253
3,American Samoa,ASM,2016,3.2521153710000004
220,Vietnam,VNM,2016,3.223907347
198,Taiwan,TWN,2016,3.221727393
57,Dominica,DMA,2016,3.218189011
179,Slovenia,SVN,2016,3.201502029
204,Tonga,TON,2016,3.2008972769999997
217,Uzbekistan,UZB,2016,3.176225115
14,Bahamas,BHS,2016,3.16907407
142,Nicaragua,NIC,2016,3.151607757
209,Turkmenistan,TKM,2016,3.134171695
48,Costa Rica,CRI,2016,3.13226306
212,United Arab Emirates,ARE,2016,3.1280790260000004
7,Antigua and Barbuda,ATG,2016,3.12805378
108,Laos,LAO,2016,3.117936783
100,Jamaica,JAM,2016,3.1166901439999997
219,Venezuela,VEN,2016,3.0892278589999997
50,Croatia,HRV,2016,3.081515548
186,Southeast Asia,,2016,3.0801178489999996
175,Seychelles,SYC,2016,3.0747408710000004
9,Armenia,ARM,2016,3.0685474960000003
75,Georgia,GEO,2016,3.068123222
91,Hungary,HUN,2016,3.052208443
129,Mexico,MEX,2016,3.0450188139999996
90,Honduras,HND,2016,3.032559955
159,Philippines,PHL,2016,2.9968818410000004
53,Czech Republic,CZE,2016,2.972563862
155,Panama,PAN,2016,2.9666289339999996
40,Central Latin America,,2016,2.946300545
28,Brunei,BRN,2016,2.9346993219999997
94,Indonesia,IDN,2016,2.910983659
4,Andean Latin America,,2016,2.903732774
174,Serbia,SRB,2016,2.858274295
13,Azerbaijan,AZE,2016,2.8544460110000003
199,Tajikistan,TJK,2016,2.846062617
134,Montenegro,MNE,2016,2.825333581
29,Bulgaria,BGR,2016,2.794418139
39,Central Europe,,2016,2.7016239630000003
178,Slovakia,SVK,2016,2.647706513
164,Romania,ROU,2016,2.6330732980000002
119,Macedonia,MKD,2016,2.600233075
137,Myanmar,MMR,2016,2.57208086
25,Bosnia and Herzegovina,BIH,2016,2.564634453
158,Peru,PER,2016,2.545435818
160,Poland,POL,2016,2.482461813
1,Albania,ALB,2016,2.45088332
45,Colombia,COL,2016,2.3782410030000003
