,Country,Code,Year,Pop_w_depression
307,Greenland,GRL,2015,6.452994022
340,Lesotho,LSO,2015,5.975510797
363,Morocco,MAR,2015,5.9178248710000005
438,Uganda,UGA,2015,5.661926762
323,Iran,IRN,2015,5.605229885
299,Finland,FIN,2015,5.2201727689999995
442,United States,USA,2015,5.172861146
374,North America,,2015,5.051462703
382,Palestine,PSE,2015,5.046273845
389,Portugal,PRT,2015,5.039881347
239,Australia,AUS,2015,4.97432208
423,Sweden,SWE,2015,4.974224532
238,Australasia,,2015,4.942380988
313,Guyana,GUY,2015,4.911884603
421,Suriname,SUR,2015,4.781406951
369,New Zealand,NZL,2015,4.768079932
265,Central African Republic,CAF,2015,4.758903354
234,Angola,AGO,2015,4.71683156
302,Gambia,GMB,2015,4.7027380480000005
294,Equatorial Guinea,GNQ,2015,4.650746123999999
263,Cape Verde,CPV,2015,4.632544444
301,Gabon,GAB,2015,4.597468429
269,Central Sub-Saharan Africa,,2015,4.587457853
275,Congo,COG,2015,4.562824287
422,Swaziland,SWZ,2015,4.557520178
343,Lithuania,LTU,2015,4.548278456
300,France,FRA,2015,4.539564554
282,Democratic Republic of Congo,COD,2015,4.534822155
439,Ukraine,UKR,2015,4.531604667
270,Chad,TCD,2015,4.501233854
306,Greece,GRC,2015,4.494493732
325,Ireland,IRL,2015,4.480199527
394,Rwanda,RWA,2015,4.47557605
376,Northern Ireland,,2015,4.471583709
244,Bangladesh,BGD,2015,4.471408845
247,Belgium,BEL,2015,4.467854419
400,Scotland,,2015,4.461212893
341,Liberia,LBR,2015,4.45473276
372,Nigeria,NGA,2015,4.445872727
364,Mozambique,MOZ,2015,4.419368384
254,Botswana,BWA,2015,4.40818479
246,Belarus,BLR,2015,4.406787012
228,Afghanistan,AFG,2015,4.3990098060000005
297,Ethiopia,ETH,2015,4.3767260619999995
289,Eastern Sub-Saharan Africa,,2015,4.370928836
295,Eritrea,ERI,2015,4.361737273
453,Yemen,YEM,2015,4.353879758
441,United Kingdom,GBR,2015,4.3401244519999995
449,Wales,,2015,4.338812553
315,High SDI,,2015,4.3364677380000005
293,England,,2015,4.32416073
261,Cameroon,CMR,2015,4.3224516710000005
409,Somalia,SOM,2015,4.311396203999999
419,Sub-Saharan Africa,,2015,4.306905196000001
368,Netherlands,NLD,2015,4.301735508999999
259,Burundi,BDI,2015,4.280013692
373,North Africa and Middle East,,2015,4.273815871
296,Estonia,EST,2015,4.262694318
413,South Sudan,SSD,2015,4.25035847
348,Madagascar,MDG,2015,4.2280881269999995
451,Western Sub-Saharan Africa,,2015,4.224019997
271,Chile,CHL,2015,4.2159958369999995
450,Western Europe,,2015,4.211067087
435,Tunisia,TUN,2015,4.210109088
326,Israel,ISR,2015,4.202888901000001
258,Burkina Faso,BFA,2015,4.198289346
304,Germany,DEU,2015,4.190483672
312,Guinea-Bissau,GNB,2015,4.186975531
431,Togo,TGO,2015,4.186595668
288,Eastern Europe,,2015,4.178871297
404,Sierra Leone,SLE,2015,4.171346508
428,Tanzania,TZA,2015,4.170757964
243,Bahrain,BHR,2015,4.1688395389999995
344,Low SDI,,2015,4.16778649
249,Benin,BEN,2015,4.165477143
410,South Africa,ZAF,2015,4.149282203
454,Zambia,ZMB,2015,4.136418962
284,Djibouti,DJI,2015,4.11700803
342,Libya,LBY,2015,4.11159049
416,Southern Sub-Saharan Africa,,2015,4.100254445
420,Sudan,SDN,2015,4.099489584
324,Iraq,IRQ,2015,4.09277233
311,Guinea,GIN,2015,4.067329684
393,Russia,RUS,2015,4.055917676
378,Norway,NOR,2015,4.043902558
339,Lebanon,LBN,2015,4.026718563999999
367,Nepal,NPL,2015,4.0181749689999995
332,Kenya,KEN,2015,4.011586027
233,Andorra,AND,2015,4.000088922
412,South Korea,KOR,2015,3.9959748
345,Low-middle SDI,,2015,3.989859315
262,Canada,CAN,2015,3.978904352
366,Namibia,NAM,2015,3.958732823
371,Niger,NER,2015,3.957694983
415,Southern Latin America,,2015,3.9457622580000002
279,Cuba,CUB,2015,3.939840725
230,Algeria,DZA,2015,3.9349572719999997
433,Trinidad and Tobago,TTO,2015,3.9255989419999997
305,Ghana,GHA,2015,3.9212607260000003
401,Senegal,SEN,2015,3.9205705280000003
436,Turkey,TUR,2015,3.9045126960000003
411,South Asia,,2015,3.902674899
317,High-middle SDI,,2015,3.9004245139999996
330,Jordan,JOR,2015,3.891638369
334,Kuwait,KWT,2015,3.891101663
424,Switzerland,CHE,2015,3.882478934
361,Mongolia,MNG,2015,3.87991741
338,Latvia,LVA,2015,3.86568124
349,Malawi,MWI,2015,3.864399667
425,Syria,SYR,2015,3.857681252
327,Italy,ITA,2015,3.852923987
321,India,IND,2015,3.85180156
309,Guam,GUM,2015,3.849237585
444,Uruguay,URY,2015,3.84475305
391,Qatar,QAT,2015,3.83569984
236,Argentina,ARG,2015,3.833964008
346,Luxembourg,LUX,2015,3.8180495580000002
277,Cote d'Ivoire,CIV,2015,3.8173392919999998
331,Kazakhstan,KAZ,2015,3.8052855930000002
360,Moldova,MDA,2015,3.8039134960000003
417,Spain,ESP,2015,3.780057909
452,World,OWID_WRL,2015,3.77788829
356,Mauritius,MUS,2015,3.766787627
255,Brazil,BRA,2015,3.75674741
434,Tropical Latin America,,2015,3.745222357
350,Malaysia,MYS,2015,3.730788806
251,Bhutan,BTN,2015,3.719202529
274,Comoros,COM,2015,3.715936295
405,Singapore,SGP,2015,3.712254508
272,China,CHN,2015,3.711781756
381,Pakistan,PAK,2015,3.701783082
287,East Asia,,2015,3.69592398
380,Oman,OMN,2015,3.69548006
264,Caribbean,,2015,3.682063115
316,High-income Asia Pacific,,2015,3.6775293060000003
399,Saudi Arabia,SAU,2015,3.662318355
418,Sri Lanka,LKA,2015,3.640348995
398,Sao Tome and Principe,STP,2015,3.613701919
314,Haiti,HTI,2015,3.5917576
320,Iceland,ISL,2015,3.583622455
353,Malta,MLT,2015,3.582531875
455,Zimbabwe,ZWE,2015,3.581816445
329,Japan,JPN,2015,3.581177718
280,Cyprus,CYP,2015,3.563410344
359,Middle SDI,,2015,3.545852065
310,Guatemala,GTM,2015,3.543634289
355,Mauritania,MRT,2015,3.535945723
291,Egypt,EGY,2015,3.510428223
430,Timor,TLS,2015,3.4927189039999997
390,Puerto Rico,PRI,2015,3.4906228039999996
333,Kiribati,KIR,2015,3.488826931
240,Austria,AUT,2015,3.487288822
443,United States Virgin Islands,VIR,2015,3.483110946
384,Papua New Guinea,PNG,2015,3.480444133
352,Mali,MLI,2015,3.4747917439999996
351,Maldives,MDV,2015,3.473510397
379,Oceania,,2015,3.460521424
252,Bolivia,BOL,2015,3.459532075
286,Dominican Republic,DOM,2015,3.437328475
283,Denmark,DNK,2015,3.4323779830000003
408,Solomon Islands,SLB,2015,3.431785257
358,Micronesia (country),FSM,2015,3.425950665
298,Fiji,FJI,2015,3.4189530919999997
396,Saint Vincent and the Grenadines,VCT,2015,3.417984309
446,Vanuatu,VUT,2015,3.412319258
354,Marshall Islands,MHL,2015,3.40206698
248,Belize,BLZ,2015,3.399861323
429,Thailand,THA,2015,3.386640283
260,Cambodia,KHM,2015,3.386149503
375,North Korea,PRK,2015,3.384771512
250,Bermuda,BMU,2015,3.384282213
377,Northern Mariana Islands,MNP,2015,3.3731426110000005
335,Kyrgyzstan,KGZ,2015,3.367275546
395,Saint Lucia,LCA,2015,3.365770579
397,Samoa,WSM,2015,3.33659221
385,Paraguay,PRY,2015,3.3295571839999996
292,El Salvador,SLV,2015,3.320549551
308,Grenada,GRD,2015,3.3174954519999997
245,Barbados,BRB,2015,3.316952624
337,Latin America and Caribbean,,2015,3.31446644
290,Ecuador,ECU,2015,3.266782042
266,Central Asia,,2015,3.266457569
231,American Samoa,ASM,2015,3.250801977
426,Taiwan,TWN,2015,3.2240168760000003
448,Vietnam,VNM,2015,3.2215075580000003
407,Slovenia,SVN,2015,3.215982476
285,Dominica,DMA,2015,3.204150836
432,Tonga,TON,2015,3.1997440139999997
445,Uzbekistan,UZB,2015,3.18075881
242,Bahamas,BHS,2015,3.164211083
370,Nicaragua,NIC,2015,3.1532145089999997
437,Turkmenistan,TKM,2015,3.134235419
276,Costa Rica,CRI,2015,3.1314222419999997
440,United Arab Emirates,ARE,2015,3.124907317
235,Antigua and Barbuda,ATG,2015,3.122444634
328,Jamaica,JAM,2015,3.108924117
336,Laos,LAO,2015,3.1066183260000004
447,Venezuela,VEN,2015,3.086506925
278,Croatia,HRV,2015,3.081128938
414,Southeast Asia,,2015,3.0744300160000004
403,Seychelles,SYC,2015,3.069647695
303,Georgia,GEO,2015,3.068773769
237,Armenia,ARM,2015,3.057041649
319,Hungary,HUN,2015,3.0522930010000002
357,Mexico,MEX,2015,3.04064426
318,Honduras,HND,2015,3.0319705160000003
387,Philippines,PHL,2015,2.990189307
281,Czech Republic,CZE,2015,2.9794359860000004
383,Panama,PAN,2015,2.96040399
268,Central Latin America,,2015,2.945682671
256,Brunei,BRN,2015,2.9246701560000004
322,Indonesia,IDN,2015,2.9031773039999997
232,Andean Latin America,,2015,2.899848998
402,Serbia,SRB,2015,2.864575738
241,Azerbaijan,AZE,2015,2.8483352710000003
427,Tajikistan,TJK,2015,2.835422692
362,Montenegro,MNE,2015,2.829260933
257,Bulgaria,BGR,2015,2.79373779
267,Central Europe,,2015,2.704212037
406,Slovakia,SVK,2015,2.652458941
392,Romania,ROU,2015,2.62737752
347,Macedonia,MKD,2015,2.600153126
253,Bosnia and Herzegovina,BIH,2015,2.5718010280000003
365,Myanmar,MMR,2015,2.560995377
386,Peru,PER,2015,2.542249613
388,Poland,POL,2015,2.487605626
229,Albania,ALB,2015,2.450237141
273,Colombia,COL,2015,2.387174065
