Lat,Lon,Country,Month,Sunlight,Temp,Cloud
-40.900557,174.88597099999998,New Zealand,03,15806.25,72.19354838709677,31.06451612903226
-40.900557,174.88597099999998,New Zealand,04,14185.359999999999,67.33333333333333,27.966666666666665
-40.900557,174.88597099999998,New Zealand,05,9276.52,64.06451612903226,49.16129032258065
-40.900557,174.88597099999998,New Zealand,06,10036.560000000001,60.233333333333334,40.03333333333333
-40.900557,174.88597099999998,New Zealand,07,11115.120000000003,57.61290322580645,37.45161290322581
-40.900557,174.88597099999998,New Zealand,08,12199.35,55.41935483870968,38.096774193548384
-40.900557,174.88597099999998,New Zealand,09,9476.980000000001,57.733333333333334,55.666666666666664
-40.900557,174.88597099999998,New Zealand,10,13879.93,61.0,43.58064516129032
-40.900557,174.88597099999998,New Zealand,11,12793.630000000001,63.833333333333336,50.766666666666666
-40.900557,174.88597099999998,New Zealand,12,17693.8,67.35483870967742,36.806451612903224
-25.274398,133.775136,Australia,01,19676.309999999998,94.45161290322581,21.741935483870968
-25.274398,133.775136,Australia,02,20632.419999999995,96.82758620689656,8.413793103448276
-25.274398,133.775136,Australia,03,19314.86,93.38709677419355,15.03225806451613
-25.274398,133.775136,Australia,04,18922.009999999995,88.16666666666667,8.433333333333334
-25.274398,133.775136,Australia,05,14759.619999999999,76.87096774193549,27.032258064516128
-25.274398,133.775136,Australia,06,14158.019999999999,69.2,25.7
-25.274398,133.775136,Australia,07,17150.55,68.12903225806451,14.161290322580646
-25.274398,133.775136,Australia,08,17992.260000000002,71.51612903225806,13.870967741935484
-25.274398,133.775136,Australia,09,17207.989999999998,75.43333333333334,19.933333333333334
-25.274398,133.775136,Australia,10,21933.080000000005,85.74193548387096,7.0
-25.274398,133.775136,Australia,11,20965.350000000002,93.5,12.733333333333333
-25.274398,133.775136,Australia,12,17089.789999999997,93.16129032258064,32.83870967741935
-23.442503,-58.44383199999999,Paraguay,01,18813.81,105.16129032258064,24.516129032258064
-23.442503,-58.44383199999999,Paraguay,02,14100.249999999998,99.48275862068965,37.10344827586207
-23.442503,-58.44383199999999,Paraguay,03,17293.45,95.61290322580645,23.838709677419356
-23.442503,-58.44383199999999,Paraguay,04,14174.220000000001,91.76666666666667,31.7
-23.442503,-58.44383199999999,Paraguay,05,10320.529999999999,76.19354838709677,49.483870967741936
-23.442503,-58.44383199999999,Paraguay,06,13370.23,73.6,30.633333333333333
-23.442503,-58.44383199999999,Paraguay,07,16439.210000000003,83.09677419354838,18.580645161290324
-23.442503,-58.44383199999999,Paraguay,08,16149.619999999999,88.45161290322581,23.35483870967742
-23.442503,-58.44383199999999,Paraguay,09,17856.849999999995,90.26666666666667,17.333333333333332
-23.442503,-58.44383199999999,Paraguay,10,18371.949999999997,97.51612903225806,21.967741935483872
-23.442503,-58.44383199999999,Paraguay,11,18003.000000000004,99.86666666666666,24.5
-23.442503,-58.44383199999999,Paraguay,12,18014.11,100.61290322580645,28.580645161290324
-20.348404000000002,57.552152,Mauritius,01,10213.65,86.74193548387096,58.41935483870968
-20.348404000000002,57.552152,Mauritius,02,9183.869999999999,87.03448275862068,58.58620689655172
-20.348404000000002,57.552152,Mauritius,03,10299.330000000002,86.12903225806451,54.516129032258064
-20.348404000000002,57.552152,Mauritius,04,8361.47,83.63333333333334,60.0
-20.348404000000002,57.552152,Mauritius,05,10857.260000000002,78.19354838709677,47.61290322580645
-20.348404000000002,57.552152,Mauritius,06,9353.539999999999,75.5,52.43333333333333
-20.348404000000002,57.552152,Mauritius,07,8594.069999999998,73.45161290322581,58.16129032258065
-20.348404000000002,57.552152,Mauritius,08,9763.880000000001,75.6774193548387,54.12903225806452
-20.348404000000002,57.552152,Mauritius,09,9723.729999999998,75.63333333333334,54.93333333333333
-20.348404000000002,57.552152,Mauritius,10,11536.999999999996,79.41935483870968,50.58064516129032
-20.348404000000002,57.552152,Mauritius,11,9530.529999999997,81.63333333333334,59.5
-20.348404000000002,57.552152,Mauritius,12,12357.669999999998,83.74193548387096,50.193548387096776
-18.766947000000002,46.869107,Madagascar,01,13528.52,79.45161290322581,44.483870967741936
-18.766947000000002,46.869107,Madagascar,02,12644.069999999998,79.10344827586206,42.758620689655174
-18.766947000000002,46.869107,Madagascar,03,10750.710000000003,78.41935483870968,52.67741935483871
-18.766947000000002,46.869107,Madagascar,04,13815.01,76.53333333333333,34.166666666666664
-18.766947000000002,46.869107,Madagascar,05,14461.739999999998,68.54838709677419,30.806451612903224
-18.766947000000002,46.869107,Madagascar,06,14274.02,65.93333333333334,28.1
-18.766947000000002,46.869107,Madagascar,07,16149.949999999999,66.61290322580645,22.0
-18.766947000000002,46.869107,Madagascar,08,15588.660000000003,71.41935483870968,27.225806451612904
-18.766947000000002,46.869107,Madagascar,09,17935.229999999996,75.86666666666666,16.966666666666665
